province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
北京市,2013,675.5,336.01,4.72,327.88,8.129999999999995,0.0140472009761614,0.0241957084610576,,45.4,124.28,169.68,0.7324375294672324,0.2511917098445596,,
北京市,2014,729.9,363.97,6.8,354.05,9.920000000000016,0.018682858477347,0.0272549935434239,,46.448,126.5609,173.0089,0.7315282624188697,0.2370309631456364,,
北京市,2015,742.3,421.0,6.64,411.13,9.870000000000005,0.015771971496437,0.0234441805225653,,44.65,118.0,162.65,0.7254841684598832,0.2191162602721272,,
北京市,2016,793.4,434.39,12.29,417.76,16.629999999999995,0.0282925481709984,0.0382835700637675,,41.6188,109.9192,151.538,0.725357336113714,0.1909982354423998,,
北京市,2017,904.1,388.4,11.32,372.25,16.149999999999977,0.029145211122554,0.0415808444902162,,42.412,106.9821,149.3941,0.7161065932322628,0.1652406813405597,30363.0,
北京市,2018,1019.5,450.45,9.91,434.33,16.120000000000005,0.022000222000222,0.0357864357864358,,42.57,110.11,152.68,0.7211815561959654,0.1497596861206473,42000.0,
北京市,2019,1024.7,464.09,10.19,445.71,18.379999999999995,0.0219569480057747,0.0396043870800922,,49.74,99.81,149.55,0.6674022066198595,0.1459451546794183,59000.0,324464.0
北京市,2020,875.4,457.47,11.46,436.09,21.38000000000005,0.0250508230047871,0.0467353050473256,,28.42,67.36,95.78,0.7032783462100647,0.1094128398446424,29000.0,
北京市,2021,953.2,472.57,13.66,448.68,23.889999999999983,0.0289057705736716,0.0505533571745984,,30.81,77.96,108.77,0.7167417486439275,0.114110365086026,90000.0,419500.0
北京市,2022,945.7,467.09,9.43,443.57,23.519999999999985,0.0201888287053886,0.0503543214369821,71.03812504679895,20.0,73.47,93.47,0.7860276024392854,0.0988368404356561,110000.0,455500.0
北京市,2023,1122.4,471.55,8.41,447.32,24.23000000000001,0.0178348001272399,0.0513837344926307,91.5519893851813,,,,,,119200.0,473900.0
吉林省,2012,485.0,684.4,65.73,570.36,114.03999999999996,0.0960403272939801,0.1666277030976037,,43.51,238.58,282.09000000000003,0.8457584458860646,0.5816288659793815,,
吉林省,2013,510.0,778.68,118.48,606.13,172.54999999999995,0.1521549288539579,0.2215929521754764,,27.85,209.82,237.67,0.8828207178019943,0.4660196078431372,,
吉林省,2014,517.6,771.73,72.45,626.67,145.06000000000006,0.0938799839322042,0.1879672942609462,,39.06,216.33,255.39,0.8470574415599671,0.4934119010819165,,
吉林省,2015,520.5,731.0,58.42,573.4,157.60000000000002,0.0799179206566347,0.2155950752393981,,37.58,198.68,236.26,0.8409379497164142,0.453909702209414,,
吉林省,2016,541.9,760.26,82.42,592.28,167.98000000000002,0.1084102806934469,0.2209507273827375,,35.98,193.12,229.1,0.842950676560454,0.4227717291013102,,
吉林省,2017,568.4,800.33,67.09,642.85,157.48000000000002,0.0838279209825946,0.1967688328564467,,45.88,213.91,259.79,0.8233958197005272,0.457054890921886,,
吉林省,2018,584.9,838.24,63.32,676.94,161.29999999999995,0.0755392250429471,0.1924269898835655,,44.65,227.1,271.75,0.8356945722171113,0.4646093349290477,,
吉林省,2019,607.1,946.38,66.76,725.24,221.14,0.0705424882182632,0.2336693505779919,,43.05,226.3,269.35,0.8401707815110451,0.4436666117608302,,324464.0
吉林省,2020,655.0,1018.83,93.84,750.21,268.62,0.0921056505992167,0.2636553693943052,,43.09,217.62,260.71000000000004,0.8347205707491081,0.3980305343511451,3000.0,
吉林省,2021,772.2,1025.75,104.86,730.69,295.05999999999995,0.1022276383134292,0.2876529368754569,,43.31,235.39,278.7,0.844599928238249,0.3609168609168608,,419500.0
吉林省,2022,745.5,1056.89,118.0,678.79,378.10000000000014,0.1116483266943579,0.3577477315520064,7.547800786222389,34.34,122.37,156.71,0.7808691213068726,0.2102079141515761,,455500.0
吉林省,2023,898.6,1158.73,98.46,716.69,442.04,0.0849723404071699,0.3814866276009078,17.50258620599054,,,,,,8400.0,473900.0
四川省,2012,595.9,2002.4,1410.7,587.33,1415.0700000000002,0.7045045944866161,0.706686975629245,,183.9,185.32,369.22,0.5019229727533719,0.6196006041282095,,
四川省,2013,622.3,2631.36,2002.01,628.1,2003.26,0.7608271008147878,0.7613021403380762,,104.43,181.6,286.03,0.6348984372268643,0.4596336172264181,,
四川省,2014,870.8,3079.44,2490.0,581.64,2497.8,0.8085885745460213,0.8111215026108644,,189.7,218.59,408.29,0.5353792647382988,0.4688677078548461,,
四川省,2015,948.1,3130.0,2667.64,442.13,2687.87,0.8522811501597444,0.8587444089456868,,204.58,160.01,364.59,0.4388765462574398,0.3845480434553317,,
四川省,2016,1126.3,3273.85,2852.07,397.83,2876.02,0.8711669746628588,0.8784825205797456,,274.6,283.67,558.27,0.5081233095097355,0.4956672289798455,,
