province,year,resident_population_10k_person,source_id,source_level,source_name,source_url,publish_date,access_date,evidence,note
山西省,2020,3490.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2020,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2021,3480.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2021,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2022,3481.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2022,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2023,3466.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2023,当前环境NBS在线接口不可达，使用本地缓存回填
山西省,2024,3445.96,SRC_CASE03_POP2024_R3_SX,A,山西省统计局-2024年山西省国民经济和社会发展统计公报,http://tjj.shanxi.gov.cn/tjsj/tjgb/ndtjgb/202503/t20250327_9797517.shtml,,2026-03-27,021.46亿元，增长1.8%，占地区生产总值比重为43.2%；第三产业增加值13080.74亿元，增长2.4%，占地区生产总值比重为51.3%。人均地区生产总值73769元，比上年增长2.8%；按2024年平均汇率计算为10358美元。 年末全省常住人口 3445.96万人，比上年末减少20.03万人。其中，城镇常住人口2285.41万人，占常住人口比重为66.32%，比上年末提高1.35个百分点。全年全省出生人口24.00万人，出生率为6.94‰；死亡人口28.79万人，死亡率为8.33‰；自然增长率为-1.39‰。 全年全省城镇新增就业 47.0万人。 全年全省居民消费价格比上年上涨 0.1%。工业生产者出厂价格下降6.7%。工业生产者购进价格下降5.0%。农产品生,Round3严格补采; 2024统计公报正文口径。
内蒙古自治区,2015,2440.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2015,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2016,2436.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2016,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2017,2433.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2017,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2018,2422.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2018,当前环境NBS在线接口不可达，使用本地缓存回填
内蒙古自治区,2019,2415.0,SRC_CASE03_NBS_POP_01,A,本地缓存-NBS人口指标（来自case02）,file:///D:/Desk/app/academic-data-hunter/cases/case02-nev-emission-controls/data/nbs_resident_population_10k_person.csv,,2026-03-27,指标代码=A030101; 单位=万人; 年份=2019,当前环境NBS在线接口不可达，使用本地缓存回填
